Time,Original_Signal,Cleaned_Signal,Artifacts_Detected
122.649,0.0529411764705882,0.9609450370477586,0
122.65,0.0431372549019608,0.8824714725287859,0
122.651,0.0490196078431373,0.8100708066054821,0
122.652,0.0529411764705882,0.744921872327791,0
122.653,0.0686274509803922,0.6876696988394313,0
122.654,0.0588235294117647,0.6385036548329344,0
122.655,0.0784313725490196,0.5972525116453552,0
122.656,0.0588235294117647,0.5634853795083284,0
122.657,0.0745098039215686,0.536608599379804,0
122.658,0.0686274509803922,0.5159505528086674,0
122.659,0.0941176470588235,0.500828494381346,0
122.66,0.0627450980392157,0.4905936615396602,0
122.661,0.0745098039215686,0.4846531257013801,0
122.662,0.0588235294117647,0.482469191748969,0
122.663,0.0392156862745098,0.48353940983410837,0
122.664,0.0431372549019608,0.48736199153642085,0
122.665,0.0392156862745098,0.49339226498832034,0
122.666,0.0235294117647059,0.5009956824368988,0
122.667,0.0490196078431373,0.509402065025502,0
122.668,0.0529411764705882,0.517664751913279,0
122.669,0.0176470588235294,0.5246277345647518,0
122.67,0.0039215686274509,0.5289042011867292,0
122.671,0.0176470588235294,0.5288711227865074,0
122.672,0.0039215686274509,0.5226856911144336,0
122.673,0.0176470588235294,0.5083294977995373,0
122.674,0.0235294117647059,0.48368496675658634,0
122.675,-0.0019607843137254,0.4466460611780613,0
122.676,0.0137254901960784,0.3952620506280788,0
122.677,0.0039215686274509,0.32790913201712485,0
122.678,0.0235294117647059,0.243479691221341,0
122.679,0.0078431372549019,0.14157292578849182,0
122.68,0.0627450980392157,0.02266394295381922,0
122.681,0.194117647058824,-0.11177757599190459,0
122.682,0.319607843137255,-0.259251401809952,0
122.683,0.345098039215686,-0.41630249343595666,0
122.684,-0.111764705882353,-0.5787225564738689,0
122.685,-0.411764705882353,-0.7418631900685071,0
122.686,-0.47843137254902,-0.9010122599637362,0
122.687,-0.282352941176471,-1.0517619295006468,0
122.688,-0.150980392156863,-1.1902989018092676,0
122.689,-0.101960784313725,-1.3135742304184197,0
122.69,-0.0862745098039216,-1.4193461958367455,0
122.691,-0.101960784313725,-1.5061182535406008,0
122.692,-0.105882352941176,-1.57300756567754,0
122.693,-0.0862745098039216,-1.6195805974643485,0
122.694,-0.101960784313725,-1.6456866475494516,0
122.695,-0.105882352941176,-1.6513125016714596,0
122.696,-0.0823529411764706,-1.6364737424402656,0
122.697,-0.0764705882352941,-1.6011513513287328,0
122.698,-0.111764705882353,-1.5452763124144449,0
122.699,-0.0862745098039216,-1.4687598590285729,0
122.7,-0.101960784313725,-1.3715626919814063,0
122.701,-0.101960784313725,-1.253793159911948,0
122.702,-0.101960784313725,-1.1158222741281458,0
122.703,-0.096078431372549,-0.9584024521915204,0
122.704,-0.105882352941176,-0.7827768030216873,0
122.705,-0.096078431372549,-0.590766424105305,0
122.706,-0.0862745098039216,-0.38482455873899163,0
122.707,-0.0607843137254902,-0.16804865977481823,0
122.708,-0.0509803921568627,0.05585550057037435,0
